Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Monaco,MCO,"Population, total",SP.POP.TOTL,26745,27162,27627,28097,28510,28832,29041,29168,29229,29305,29438,29622,29865,30146,30435,30716,30995,31280,31556,31844,32147,32470,32806,33153,33500,38682,38964,39000,40000,40000,40000,40000,41000
Mongolia,MNG,Population growth (annual %),SP.POP.GROW,2.597995643,2.562322907,2.520751765,2.526639269,2.591917406,2.678324521,2.792707565,2.845025879,2.734596464,2.425045434,1.994630024,1.534401951,1.146645064,0.873863728,0.761195357,0.766237399,0.803889746,0.823940855,0.84964524,0.869045297,0.887923091,0.920495284,0.974043757,1.037909511,1.112927846,1.79600998,1.718753097,..,..,..,..,..,..
Mongolia,MNG,"Population, total",SP.POP.TOTL,1689622,1733475,1777727,1823216,1871090,1921881,1976310,2033344,2089715,2141011,2184145,2217917,2243495,2263186,2280479,2298020,2316568,2335734,2355664,2376225,2397418,2419588,2443271,2468762,2496391,3170208,3225167,3278000,3329000,3378000,3425000,3470000,3514000
Montenegro,MNE,Population growth (annual %),SP.POP.GROW,1.003961057,1.186938495,1.295577453,1.270428519,1.067109566,0.748418872,0.381334703,0.071225601,-0.120274095,-0.138716842,-0.032812754,0.120809886,0.232144827,0.271440062,0.199581093,0.052816572,-0.115971437,-0.243010698,-0.305295583,-0.419325616,-0.027974019,0.402363248,0.400750772,0.399151169,0.177216476,-0.023461353,-0.014465221,..,..,..,..,..,..
Montenegro,MNE,"Population, total",SP.POP.TOTL,572608,579445,587001,594506,600884,605398,607711,608144,607413,606571,606372,607105,608516,610170,611389,611712,611003,609520,607662,606001,604950,607389,609828,612267,613353,622227,622137,622000,622000,622000,622000,621000,621000
Morocco,MAR,Population growth (annual %),SP.POP.GROW,2.394983994,2.420213525,2.43257874,2.406367941,2.333823164,2.231317037,2.116309734,2.011445232,1.927543801,1.873384213,1.838191235,1.809361545,1.769659621,1.711343154,1.627937342,1.529636873,1.431577587,1.346089112,1.274059696,1.220063548,1.18141041,1.148669219,1.121322244,1.107806757,1.109662648,1.250794964,1.22105093,..,..,..,..,..,..
Morocco,MAR,"Population, total",SP.POP.TOTL,19990012,20479715,20984009,21495086,22002643,22499110,22980335,23447252,23903592,24355619,24807462,25260404,25711406,26155203,26584478,26994250,27383473,27754571,28110443,28455509,28793679,29126330,29454768,29782884,30115214,36029138,36471769,36911000,37345000,37773000,38194000,38606000,39010000
Mozambique,MOZ,Population growth (annual %),SP.POP.GROW,2.514472357,2.403298029,2.296387765,2.029644997,1.566110772,1.009996459,0.345451366,-0.173542381,-0.221896457,0.375044144,1.406174658,2.589814548,3.523386633,4.01051768,3.937219323,3.518039679,3.035216634,2.699626591,2.509928774,2.526631965,2.676309529,2.83852544,2.932489207,2.976679703,2.953464449,2.913458975,2.907137438,..,..,..,..,..,..
Mozambique,MOZ,"Population, total",SP.POP.TOTL,11630194,11913088,12189824,12439762,12636116,12764387,12808558,12786349,12758008,12805946,12987292,13328032,13806001,14370946,14948048,15483286,15960442,16397183,16813949,17244188,17711927,18221888,18764155,19331100,19910552,29495962,30366036,31255000,32163000,33089000,34035000,35000000,35985000
Myanmar,MMR,Population growth (annual %),SP.POP.GROW,2.194635664,2.173902304,2.143490732,2.097734953,2.033687805,1.955852198,1.881739661,1.807546117,1.714260422,1.598149224,1.471448092,1.333742473,1.213624069,1.145066673,1.143877971,1.187319546,1.24638692,1.285289498,1.288625438,1.241638655,1.159581323,1.076001574,1.005095607,0.932142376,0.859414762,0.608482652,0.625548337,..,..,..,..,..,..
Myanmar,MMR,"Population, total",SP.POP.TOTL,34224313,34976462,35734272,36491800,37241527,37977086,38698482,39404335,40085651,40731426,41335199,41890197,42401684,42890002,43383428,43901598,44452206,45027233,45611220,46181077,46719701,47225120,47702171,48148902,48564484,53708395,54045420,54410000,54806000,55227000,55664000,56101000,56528000
Namibia,NAM,Population growth (annual %),SP.POP.GROW,2.135279119,2.170969196,2.210749011,2.37213904,2.672189429,3.039429842,3.427628212,3.71028716,3.792500725,3.634792349,3.327473641,2.98947121,2.71084495,2.483348153,2.333877684,2.239006818,2.158113413,2.061945897,1.959842544,1.843566356,1.726197374,1.608605476,1.515649273,1.4793442,1.511993064,1.882279294,1.872480881,..,..,..,..,..,..
